DateTime,Entries,UniqueIPs
1531171227,5750,5750
1531173160,5765,5765
1531175079,5789,5789
1531177026,5801,5801
1531179167,5803,5803
1531181072,5795,5795
1531182987,5814,5814
1531184941,5820,5820
1531186860,5817,5817
1531188804,5808,5808
1531190712,5810,5810
1531192603,5821,5821
1531194519,5830,5830
1531196434,5824,5824
1531198588,5823,5823
1531200504,5838,5838
1531202512,5834,5834
1531204369,5841,5841
1531206273,5845,5845
1531208189,5850,5850
1531210115,5845,5845
1531212039,5851,5851
1531213962,5849,5849
1531215865,5851,5851
1531217808,5858,5858
1531219706,5860,5860
1531221639,5898,5898
1531223623,5916,5916
1531225482,5921,5921
1531227382,5938,5938
1531229576,5945,5945
1531231484,5944,5944
1531233401,5956,5956
1531235321,5958,5958
1531237250,2800,2800
1531239208,2435,2435
1531241098,2429,2429
1531243002,2427,2427
1531244910,2438,2438
1531246827,2436,2436
1531248762,2443,2443
1531250737,2432,2432
1531252628,2436,2436
1531254516,2448,2448
1531256510,2454,2454
1531258364,2453,2453
1531260296,2449,2449
1531262207,2447,2447
1531264139,2437,2437
1531266028,2445,2445
1531267979,2439,2439
1531269865,2443,2443
1531271794,2457,2457
1531273721,2449,2449
1531275641,2451,2451
1531277612,2442,2442
1531279465,2435,2435
1531281392,2434,2434
1531283574,2441,2441
1531285741,2419,2419
1531287694,2426,2426
1531289557,2416,2416
1531291492,3589,3589
1531293426,5812,5812
1531295322,7497,7497
1531297243,7500,7500
1531299165,7495,7495
1531301077,7485,7485
1531303008,7479,7479
1531304916,7475,7475
1531306912,7443,7443
1531308785,7441,7441
1531310700,7431,7431
1531312601,7427,7427
1531314524,7432,7432
1531316450,7426,7426
1531318376,7414,7414
1531320316,7405,7405
1531322202,7406,7406
1531324122,7319,7319
1531326416,6344,6344
1531328503,6336,6336
1531330357,6335,6335
1531332270,6332,6332
1531334438,6315,6315
1531336367,6311,6311
1531338289,6302,6302
1531340205,6303,6303
1531342121,6298,6298
1531344043,6301,6301
1531345967,6304,6304
1531348115,6311,6311
1531350107,6295,6295
1531351951,6292,6292
1531353884,6294,6294
1531355797,6278,6278
1531357731,6273,6273
1531359623,6275,6275
1531361566,6271,6271
1531363475,6269,6269
1531365412,6260,6260
1531367308,6244,6244
1531369225,6219,6219
1531371166,6217,6217
1531373063,6209,6209
1531375002,6203,6203
1531376909,6207,6207
1531378900,3776,3776
1531380755,1592,1592
1531382685,958,958
1531384597,958,958
1531386533,961,961
1531388423,961,961
1531390363,951,951
1531392306,955,955
1531394198,939,939
1531396119,939,939
1531398044,938,938
1531400008,936,936
1531401892,940,940
1531403796,950,950
1531405708,963,963
1531407703,955,955
1531409564,945,945
1531411511,959,959
1531413424,961,961
1531415300,951,951
1531417236,969,969
1531419145,978,978
1531421059,974,974
1531423001,973,973
1531425170,971,971
1531427064,974,974
1531429017,969,969
1531430926,963,963
1531434411,950,950
1531436559,945,945
1531438601,946,946
1531440516,944,944
1531442464,941,941
1531444353,932,932
1531446280,935,935
1531448182,937,937
1531451314,949,949
1531453218,941,941
1531455158,929,929
1531457106,927,927
1531459015,931,931
1531461165,928,928
1531463063,924,924
1531464995,923,923
1531466900,915,915
1531468911,913,913
1531470769,912,912
1531472736,918,918
1531474600,914,914
1531476538,918,918
