DateTime,Entries,UniqueIPs
1531283563,2010,2010
1531285730,2010,2010
1531287682,2007,2007
1531289548,2005,2005
1531291481,1999,1999
1531293415,1997,1997
1531295312,1998,1998
1531297232,1996,1996
1531299155,1972,1972
1531301066,1967,1967
1531302997,1967,1967
1531304901,1968,1968
1531306901,1965,1965
1531308773,1961,1961
1531310689,1957,1957
1531312590,1953,1953
1531314513,1874,1874
1531316439,1871,1871
1531318366,1870,1870
1531320305,1866,1866
1531322193,1866,1866
1531324112,1772,1772
1531326406,660,660
1531328493,659,659
1531330347,661,661
1531332260,662,662
1531334428,660,660
1531336358,661,661
1531338280,588,588
1531340195,587,587
1531342110,587,587
1531344031,589,589
1531345956,626,626
1531348105,625,625
1531350096,626,626
1531351941,626,626
1531353876,628,628
1531355789,630,630
1531357721,632,632
1531359615,627,627
1531361558,623,623
1531363466,615,615
1531365403,617,617
1531367299,616,616
1531369215,616,616
1531371157,622,622
1531373054,623,623
1531374992,624,624
1531376897,629,629
1531378885,629,629
1531380743,627,627
1531382677,627,627
1531384588,629,629
1531386524,629,629
1531388414,631,631
1531390354,630,630
1531392298,779,779
1531394189,775,775
1531396109,775,775
1531398034,777,777
1531399999,783,783
1531401881,826,826
1531403786,825,825
1531405699,976,976
1531407688,1324,1324
1531409554,1324,1324
1531411501,1328,1328
1531413413,1329,1329
1531415292,1328,1328
1531417227,1329,1329
1531419136,1327,1327
1531421050,1325,1325
1531422992,1324,1324
1531425161,1324,1324
1531427055,1322,1322
1531429007,1324,1324
1531430916,1321,1321
1531434401,1303,1303
1531436202,1329,1329
1531438090,1326,1326
1531440101,1326,1326
1531441939,1324,1324
1531443868,1324,1324
1531445772,1327,1327
1531447711,1327,1327
1531449610,1331,1331
1531451560,1327,1327
1531453462,1327,1327
1531455636,1331,1331
1531457554,1325,1325
1531459487,1325,1325
1531462609,1324,1324
1531464500,1316,1316
1531466432,1321,1321
1531468362,1320,1320
1531470263,1317,1317
1531472195,1322,1322
1531474110,1321,1321
1531476099,1321,1321
